207
1,2019082413,2,1,1,12.14,1.5,2019090503,2020020811,2020061710,3,10#-2018.50-1
2,2019082413,2,2,1,12.01,1.5,2019090503,2020020811,2020061710,3,10#-2018.50-2
3,2019082413,2,3,1,11.86,1.5,2019090503,2020020811,2020061710,3,10#-2018.50-3
4,2019090503,2,4,1,12.23,1.5,2019092600,2020020811,2020061710,3,10#-2020.00-1
5,2019090503,2,5,1,11.80,1.5,2019092600,2020020811,2020061710,3,10#-2020.00-2
6,2019090503,2,6,1,11.85,1.5,2019092600,2020020811,2020061710,3,10#-2020.00-3
7,2019091403,2,7,1,12.20,4.5,2019092908,2020011910,2020050810,4,07#-2009.50
8,2019092016,2,8,1,11.39,3,2019093023,2020020811,2020061710,3,11#-2018.50-1
9,2019092016,2,9,1,11.25,3,2019093023,2020020811,2020061710,3,11#-2018.50-2
10,2019092600,1,10,1,12.09,3,2019101208,2020030214,2020061710,3,10#-2021.50-1
11,2019092600,2,11,1,11.59,3,2019101208,2020030214,2020061710,3,10#-2021.50-2
12,2019092600,1,12,1,11.80,3,2019101208,2020030214,2020061710,3,10#-2021.50-3
13,2019092909,2,13,1,11.92,4.5,2019102020,2020020109,2020050810,3,07#-2014.00
14,2019093023,2,14,1,12.78,1.5,2019101816,2020030214,2020061710,3,11#-2021.50-1
15,2019093023,2,15,1,12.43,1.5,2019101816,2020030214,2020061710,3,11#-2021.50-2
16,2019101015,2,16,1,11.27,3,2019102610,2020020811,2020061710,3,09#-2018.50-1
17,2019101015,2,17,1,11.32,3,2019102610,2020020811,2020061710,3,09#-2018.50-2
18,2019101015,2,18,1,11.20,3,2019102610,2020020811,2020061710,3,09#-2018.50-3
19,2019101208,1,19,1,11.35,3,2019111204,2020032710,2020061710,3,10#-2024.50-1
20,2019101208,1,20,1,11.91,3,2019111204,2020032710,2020061710,3,10#-2024.50-2
21,2019101208,1,21,1,12.22,3,2019111204,2020032710,2020061710,3,10#-2024.50-3
22,2019101816,2,22,1,10.80,4.5,2019102809,2020032710,2020061710,3,11#-2023.00-1
23,2019101816,2,23,1,10.73,4.5,2019102809,2020032710,2020061710,3,11#-2023.00-2
