  14.000  24.697   0.012
  16.000  26.057   0.048
  18.000  26.207   0.056
  20.000  25.900   0.045
  22.000  25.394   0.034
  24.000  24.811   0.021
  26.000  24.214   0.005
  28.000  23.626  -0.006
  30.000  23.070  -0.013
  32.000  22.556  -0.020
  34.000  22.817  -0.017
  36.000  23.005  -0.014
  38.000  23.148  -0.006
  40.000  23.259   0.006
  42.000  23.345   0.017
  44.000  23.409   0.027
  46.000  23.456   0.036
  48.000  23.488   0.044
  50.000  23.509   0.052
  52.000  23.519   0.059
  54.000  23.522   0.066
  56.000  23.518   0.073
  58.000  23.501   0.081
  60.000  23.469   0.090
  62.000  23.429   0.101
  64.000  23.381   0.111
  66.000  23.329   0.121
  68.000  23.273   0.131
  70.000  23.212   0.141
  72.000  23.149   0.150
  74.000  23.084   0.160
  76.000  23.016   0.169
  78.000  22.946   0.178
  80.000  22.875   0.187
  82.000  22.802   0.196
  84.000  22.728   0.205
  86.000  22.653   0.214
  88.000  22.576   0.222
  90.000  22.472   0.237
  92.000  22.356   0.254
  94.000  22.232   0.272
  96.000  22.102   0.290
  98.000  21.968   0.308
 100.000  21.829   0.327
 102.000  21.687   0.345
 104.000  21.542   0.364
 106.000  21.394   0.382
 108.000  21.244   0.401
 110.000  21.091   0.419
 112.000  20.937   0.437
 114.000  20.780   0.456
 116.000  20.622   0.474
 118.000  20.462   0.492
 120.000  20.260   0.520
 122.000  20.064   0.546
 124.000  19.867   0.570
 126.000  19.666   0.595
 128.000  19.463   0.619
 130.000  19.258   0.643
 132.000  19.050   0.667
 134.000  18.840   0.691
 136.000  18.628   0.715
 138.000  18.415   0.739
 140.000  18.199   0.762
 142.000  17.982   0.786
 144.000  17.763   0.809
 146.000  17.543   0.832
 148.000  17.321   0.855
 150.000  17.110   0.875
 152.000  16.913   0.891
 154.000  16.723   0.905
 156.000  16.538   0.918
 158.000  16.355   0.931
 160.000  16.174   0.944
 162.000  15.996   0.956
 164.000  15.818   0.968
 166.000  18.099   0.294
 168.000  18.112   0.343
 170.000  16.597   0.792
 172.000  16.027   0.910
 174.000  15.651   0.968
 176.000  15.351   1.004
 178.000  15.091   1.030
 180.000  14.849   1.052
 182.000  14.658   1.060
 184.000  14.493   1.063
 186.000  14.344   1.064
 188.000  14.208   1.063
 190.000  14.081   1.061
 192.000  13.963   1.058
 194.000  13.852   1.055
 196.000  13.746   1.051
 198.000  13.645   1.047
 200.000  13.548   1.042
 202.000  13.455   1.038
 204.000  13.365   1.033
 206.000  13.278   1.028
 208.000  13.194   1.024
 210.000  11.383   1.517
 212.000  12.367   1.140
 214.000  12.577   1.052
 216.000  12.664   1.006
 218.000  12.712   0.974
 220.000  12.744   0.948
 222.000  12.769   0.925
 224.000  12.790   0.903
 226.000  12.811   0.882
 228.000  12.832   0.862
 230.000  12.853   0.843
 232.000  12.875   0.824
 234.000  12.898   0.805
 236.000  12.923   0.786
 238.000  12.949   0.768
 240.000  12.976   0.750
 242.000  13.011   0.730
 244.000  13.057   0.707
 246.000  13.109   0.684
 248.000  13.166   0.661
 250.000  13.225   0.638
 252.000  13.288   0.615
 254.000  13.354   0.591
 256.000  13.422   0.568
 258.000  13.492   0.545
 260.000  13.564   0.522
 262.000  13.639   0.500
 264.000  13.715   0.477
 266.000  13.793   0.455
 268.000  13.872   0.432
 270.000  14.008   0.394
 272.000  16.608  -0.190
 274.000  15.230   0.137
 275.000  16.935  -0.194
 276.000  17.593  -0.192
 277.000  18.180  -0.198
 278.000  16.697  -0.017
 279.000  18.118  -0.183
 280.000  16.809  -0.014
 281.000  16.399  -0.004
 282.000  16.186   0.060
 283.000  16.057   0.095
 284.000  15.975   0.115
 284.500  15.716   0.206
 285.000  16.857  -0.143
 285.500  16.080   0.086
 286.000  17.097  -0.145
 286.500  16.266   0.037
 287.000  17.252  -0.145
 287.500  16.401   0.006
 288.000  17.374  -0.145
 288.500  16.514   0.000
 289.000  17.481  -0.145
 289.500  16.581   0.005
 290.000  17.145  -0.093
 290.100  16.883  -0.029
 290.200  16.803  -0.020
 290.300  16.726  -0.012
 290.400  16.419   0.062
 290.500  16.155   0.166
 290.600  16.354   0.072
 290.700  16.856  -0.101
 290.800  17.209  -0.155
 290.900  17.233  -0.131
 291.000  17.128  -0.091
 291.100  16.999  -0.057
 291.200  16.892  -0.036
 291.300  16.814  -0.026
 291.400  16.536   0.026
 291.500  16.300   0.115
 291.600  16.482   0.029
 291.700  16.936  -0.103
 291.800  17.257  -0.151
 291.900  17.283  -0.130
 292.000  17.192  -0.093
 292.100  17.079  -0.063
 292.200  16.851  -0.016
 292.300  16.703   0.004
 292.400  16.303   0.127
 292.500  15.965   0.259
 292.600  16.186   0.152
 292.700  16.775  -0.096
 292.800  17.186  -0.161
 292.900  17.205  -0.132
 293.000  17.069  -0.083
 293.100  16.906  -0.043
 293.200  16.622   0.013
 293.300  16.445   0.064
 293.400  16.097   0.204
 293.500  15.804   0.317
 293.600  15.937   0.247
 293.700  16.348   0.066
 293.800  16.629  -0.050
 293.900  16.618  -0.039
 294.000  16.494   0.017
