       35
        1     41.2500     19.1670     24.6136      0.1867
        2     55.0000     19.1670     24.5462      0.1588
        3     55.0000     23.0000     24.3510      0.1835
        4     41.2500     23.0000     24.4024      0.1952
        5     41.2500     11.5000     24.5771      0.1228
        6     55.0000     11.5000     24.5123      0.1695
        7     41.2500      0.0000     24.5872      0.0734
        8     55.0000      0.0000     24.5218      0.1667
        9      0.0000     19.1670     24.6002      0.1776
       10      0.0000     23.0000     24.3922      0.1848
       11      0.0000     11.5000     24.5642      0.1113
       12      0.0000      0.0000     24.5742      0.0565
       13    -41.2500     19.1670     24.6136      0.1867
       14    -41.2500     23.0000     24.4024      0.1952
       15    -41.2500     11.5000     24.5771      0.1228
       16    -41.2500      0.0000     24.5872      0.0734
       17    -55.0000     19.1670     24.5462      0.1588
       18    -55.0000     23.0000     24.3510      0.1835
       19    -55.0000     11.5000     24.5123      0.1695
       20    -55.0000      0.0000     24.5218      0.1667
       21     41.2500    -23.0000     24.4024      0.1952
       22     55.0000    -23.0000     24.3510      0.1835
       23     55.0000    -19.1670     24.5462      0.1588
       24     41.2500    -19.1670     24.6136      0.1867
       25     55.0000    -11.5000     24.5123      0.1695
       26     41.2500    -11.5000     24.5771      0.1228
       27      0.0000    -23.0000     24.3922      0.1848
       28      0.0000    -19.1670     24.6002      0.1776
       29      0.0000    -11.5000     24.5642      0.1113
       30    -41.2500    -23.0000     24.4024      0.1952
       31    -41.2500    -19.1670     24.6136      0.1867
       32    -41.2500    -11.5000     24.5771      0.1228
       33    -55.0000    -23.0000     24.3510      0.1835
       34    -55.0000    -19.1670     24.5462      0.1588
       35    -55.0000    -11.5000     24.5123      0.1695
       24
        1        1        2        3        4
        2        5        6        2        1
        3        7        8        6        5
        4        9        1        4       10
        5       11        5        1        9
        6       12        7        5       11
        7       13        9       10       14
        8       15       11        9       13
        9       16       12       11       15
       10       17       13       14       18
       11       19       15       13       17
       12       20       16       15       19
       13       21       22       23       24
       14       24       23       25       26
       15       26       25        8        7
       16       27       21       24       28
       17       28       24       26       29
       18       29       26        7       12
       19       30       27       28       31
       20       31       28       29       32
       21       32       29       12       16
       22       33       30       31       34
       23       34       31       32       35
       24       35       32       16       20
